,gameid,gamerank,matchingmode,avg_ranktier,avg_getmmr,avg_rankpoint,characterNum_1,weaponCode_1,damage_1,playerkill_1,characterNum_2,weaponCode_2,damage_2,playerkill_2,characterNum_3,weaponCode_3,damage_3,playerkill_3,total_damage,total_kill,avg_damage,avg_kill,max_damage,min_damage,max_kill,min_kill,main_melee_cnt,main_ranged_cnt,main_support_cnt,sub_bruiser_cnt,sub_assassin_cnt,sub_poke_cnt,sub_sustain_cnt,sub_util_cnt,sub_tank_cnt,sub_nuker_cnt
gameid,1.0,-0.003696818287077477,,0.12594452737928946,-0.02374908598201256,0.1259264244998863,-0.012266469566931055,-0.0036240475125677595,0.005400942018243277,0.0029273886173713623,-0.005164684390450502,-0.0014876538763251897,0.00425757454836203,0.0006945003755446906,-0.008740992536315701,-0.003826705592154285,0.0024986182295985795,0.0011046508647857029,0.0049898194543628194,0.0022285630136804,0.004989887165288316,0.0021305361280005695,0.0038617333355052655,0.004628909130019137,0.0024898733132509604,0.00046814213109170233,-0.0013130570185352062,0.000813245111720575,0.0017100434318455503,0.00020259979458155358,-0.007638505721643041,-0.014034853250435676,0.007056591171996735,0.0027813964373679272,-0.00247541973307971,0.01079380522599076
gamerank,-0.003696818287077477,1.0,,-0.0174323862922313,-0.8115194107644763,-0.040928732694513935,0.020616502349051834,0.001726089250690173,-0.5592419556735446,-0.4515502522191286,0.01739951779073241,0.0038307640628467256,-0.5620626535137284,-0.45539619604114956,0.01875949081239657,0.005562409179780422,-0.5639772870306564,-0.454246493945696,-0.6909495233052716,-0.6414034454522501,-0.6909494984587586,-0.6336072869485816,-0.6582741593332104,-0.6065314789711662,-0.5915018896538179,-0.4903424821837759,0.012897507496734812,-0.015352091006814297,0.009511490867907759,0.020004072298238886,-0.008933192758015433,-0.0036722103777050196,-0.009498581397981863,-0.01104234787948322,0.003588001888583962,-0.005098618348910205
matchingmode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avg_ranktier,0.12594452737928946,-0.0174323862922313,,1.0,-0.20183616152959324,0.9996069511721297,-0.07416709117904222,-0.0019131747231151798,0.1711958739932912,0.10422890540837244,-0.06280494348929265,-0.010306032907273215,0.16486290428988573,0.09668805239500425,-0.05207900330981503,-0.0017370979396482144,0.15365341864493717,0.0880333671662318,0.20081298486577165,0.13617792344696283,0.20081289808806538,0.1356585188816468,0.15475251202319446,0.2257888457342559,0.10954752581081313,0.12163793820661468,-0.016596641402157664,0.018276033757797107,-0.006954963433190487,-0.018722143741075243,-0.014759190219904928,0.010562186084870832,-0.0132026227236826,0.06328811808381359,-0.05112667763075302,0.0305542479224471
avg_getmmr,-0.02374908598201256,-0.8115194107644763,,-0.20183616152959324,1.0,-0.1743863061460316,-0.0005442876798552326,0.007093539638472229,0.5900998642930315,0.5803326714606892,-0.0037599824460164345,0.002841249393056201,0.5917781726002237,0.5834747543104388,-0.0017650703793749153,6.337301197584915e-05,0.5902403423382009,0.5813212137861915,0.7265610090983374,0.8223194452682359,0.7265609814863643,0.8119821732631699,0.6932822932659625,0.6329656827069029,0.7578633897867474,0.634835089999165,-0.0043982459462716065,0.005244814822795631,-0.0032775688282769364,-0.0015465416758238607,0.005374404900501238,-0.013484985090615987,0.011736454996696835,-0.010024733874936556,0.003566408957135153,0.005472878621375756
avg_rankpoint,0.1259264244998863,-0.040928732694513935,,0.9996069511721297,-0.1743863061460316,1.0,-0.07458328032919988,-0.001722718151295675,0.18913118866435072,0.12148735545816013,-0.06324199762193576,-0.010277969951154526,0.1828108921545668,0.11398834866625784,-0.05240679356519274,-0.00175270426848016,0.1715016014336666,0.10521968976173889,0.2228428362584223,0.16056077545490147,0.2228427479132205,0.15974111164759475,0.17556504633577283,0.24527097273958615,0.13192674837518684,0.1405515525826151,-0.016800627202162206,0.018517070716676576,-0.007099071739695741,-0.018864991341012036,-0.014684001032506904,0.01023155559195979,-0.012935596712018126,0.06333590280132391,-0.051293389773807326,0.030870314047054176
characterNum_1,-0.012266469566931055,0.020616502349051834,,-0.07416709117904222,-0.0005442876798552326,-0.07458328032919988,1.0,0.18024834381033167,-0.02589409147436144,-0.03772023975918746,-0.003642130816449776,0.00293698382904614,-0.017994662168098568,-0.007446356699795223,-0.004192044971929779,0.0012278339188721051,-0.014243894207361796,-0.00283510280584237,-0.023854549331482396,-0.02265527156800147,-0.02385446060450681,-0.02292518692725404,-0.02166919235108801,-0.02639835433214609,-0.022889349184412475,-0.015420660072639267,0.026313537359228853,-0.044788302653097176,0.06751694225127156,0.05405324536431694,0.014897732667093036,-0.03693238003007455,-0.0830623593255024,0.00024074753428853928,-0.03453289867490294,0.07217409062294605
weaponCode_1,-0.0036240475125677595,0.001726089250690173,,-0.0019131747231151798,0.007093539638472229,-0.001722718151295675,0.18024834381033167,1.0,0.02961256384433112,-0.006793300845270185,0.004907486432764717,-0.007311799746556501,-0.006574836027848373,0.0036936115493725018,-0.00012860795741092247,-0.004561906253776175,-0.008867723790728867,0.009917770257825413,0.0058726879934072294,0.003192007659015278,0.005872595579603783,0.0030362442700159233,-0.000597220397710924,0.013026869646973128,0.0031069898934662304,0.001005981283014678,-0.03490684663016676,0.01676886768697951,0.06279025066155591,0.047560713494367524,0.013885561602687788,-0.04372003510600452,-0.15205070550524716,0.09916364759373737,-0.08386391853200942,0.13083923814394732
damage_1,0.005400942018243277,-0.5592419556735446,,0.1711958739932912,0.5900998642930315,0.18913118866435072,-0.02589409147436144,0.02961256384433112,1.0,0.6923907314589118,-0.02026313255106926,-0.018028817648803094,0.4875657029641543,0.3846491777433661,-0.013573513922922628,-0.01266954971207813,0.4899602203526777,0.3828254254348403,0.8115981002688948,0.6881923984503366,0.8115980236999661,0.6804556812914626,0.7670736532594792,0.7263721495718382,0.6312264448602823,0.531169015783915,-0.018301917974830415,0.026039400485172014,-0.028696090916701517,-0.023710637444150758,0.013570105193671668,0.023789945872522734,-0.013686035234380216,0.023371983620849388,-0.01857790644796355,0.015836470371324907
playerkill_1,0.0029273886173713623,-0.4515502522191286,,0.10422890540837244,0.5803326714606892,0.12148735545816013,-0.03772023975918746,-0.006793300845270185,0.6923907314589118,1.0,-0.0052151494987892795,-0.0008045403406406543,0.3844399436640645,0.25318412215208863,-0.0040552011101724185,-0.0009954797390841722,0.3824112751275877,0.24804195730593273,0.5987833489866397,0.7080999634407995,0.5987833520019648,0.6999813601373762,0.5561708565437204,0.546596839622205,0.6489125213903545,0.5491520655196654,0.007623270278270764,-0.003746943381912454,-0.013409716502874503,0.0059777666663289345,0.007124834908296085,-0.017378925597628683,0.003800919847154663,0.004122032437882597,-0.014957991321623917,0.00856519506225539
