feature_name
characterNum_1_avg_getmmr
characterNum_2_avg_getmmr
characterNum_3_avg_getmmr
character_synergy_1
character_synergy_2
character_synergy_3
character_synergy_mean
characterNum_1
characterNum_2
characterNum_3
weaponCode_1
weaponCode_2
weaponCode_3
position_main_1
position_main_2
position_main_3
position_sub_1
position_sub_2
position_sub_3
main_melee_cnt
main_ranged_cnt
main_support_cnt
sub_bruiser_cnt
sub_assassin_cnt
sub_poke_cnt
sub_sustain_cnt
sub_util_cnt
sub_tank_cnt
sub_nuker_cnt
